SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
INDIGRID,SEC RE NCD 7.69% SR.IV,999.05,870.35,870.35,870.35,870.35,21758.75,25, ,1,1018,870.35
RECLTD,7.43% TAX FREE TRI SR3B,1224.9,1225,1225,1225,1225,42875,35, ,1,1379.9,1171
L&TFINANCE,SERENCD 8.98% SR.VI OPII,1060,1070,1078,1070,1074,30072,28, ,4,1190.5,1045
RECLTD,8.12/8.32% TAX FREE NCD,1108.02,1118,1118,1118,1118,1118,1, ,1,1179.99,1071
ECLFINANCE,SEC RED NCD 9.43% SR. VI,971.26,972,972,970.5,971.35,271856,280, ,6,998,916
INDIGRID,SEC RE NCD 8.20% SR.V,1042.5,1036.6,1036.6,1036,1036,300507.65,290, ,6,1083,1000
IRFC,TAX FREE  7.53% SR. 103 A,1134.9,1120,1130,1120,1125.02,556657.8,496, ,11,1197.79,1100
TCFSL,SERENCD8.50%SR.IICIII&IV,1022.4,1022.49,1022.49,1022.49,1022.49,25562.25,25, ,1,1089.8,982.15
IFCI,9.40 % SRNCD TR II SR III,1073,1077.75,1078,1074,1074,469057.5,436, ,7,1123.99,1003
IIFL,SEC RE NCD 8.42% SR.V,949.99,947,950,940,945.3,1227151.11,1299, ,36,1000,931.25
INDIGRID,SEC RE NCD 7.97% SR.VI,995.48,995.48,1000,995.48,1000,1476831,1478, ,15,1050,980
TCFSL,SERENCD8.65%SR.IIICIII&IV,1038,1040,1040,1040,1040,208000,200, ,1,1167.9,1012.25
IIFL,SEC RE NCD 8.75% SR.VI,1008,997,997,997,997,39880,40, ,2,1076,865
TCFSL,UNSERENCD8.85%SRIVCIII&IV,1060,1075,1075,1075,1075,43000,40, ,4,1180,1040
ECLFINANCE,SEC RED NCD 9.95% SR. III,995,997,997.9,997,997.9,74797.5,75, ,2,1022,945
IBULHSGFIN,SEC RE NCD SR.V,1174.3,1174.35,1174.35,1174.35,1174.35,23487,20, ,2,1174.35,886
IIFL,SEC RE NCD 8.5% SR.I,1021,1032.8,1032.8,1030,1032.8,663585.8,644, ,8,1032.95,960
IRFC,TAX FREE  7.64% SR. 108A,1138,1138,1138,1131,1132.51,3171847.5,2797, ,16,1208.85,1112.5
IIFL,SEC RE NCD 0% SR.II,1030,1031,1032.8,1031,1032.8,63994,62, ,2,1050,842.8
ECLFINANCE,SEC RED NCD SR. V,1596.69,1596.69,1603.99,1596.69,1601.87,245381.78,153, ,11,1825,1450.3
IBULHSGFIN,SEC RE NCD 8.66% SR.VI,980,970,970,970,970,9700,10, ,1,994.9,818
IIFL,SEC RE NCD 8.75% SR.III,1008,1008,1008,1008,1008,231840,230, ,5,1020.55,930.55
L&TFINANCE,SERENCD 8.66% SR.IV OPII,1000,1010,1010,1010,1010,30300,30, ,2,1119.99,991.25
IBUCCREDIT,SEC RE NCD SR.III,1009.86,1009.86,1030,1009.86,1030,25367.34,25, ,3,1030,950.2
IIFL,SEC RE NCD 8.65% SR.V,942.99,942,948,942,948,798679.5,846, ,20,1000,900
L&TFINANCE,SE RE NCD SR.V OPT II,1579,1463.25,1463.25,1463.25,1463.25,11706,8, ,2,2027,1234
IBULHSGFIN,SEC RE NCD 8.89% SR.VIII,998,995,995,989.99,989.99,248249.5,250, ,5,1020,813.5
IIFL,SEC RE NCD 9% SR.VI,982.72,985,985,980,980,124595,127, ,4,1025,941
IIFL,SEC RE NCD 0% SR.VII,950,935.35,935.35,935.35,935.35,4676.75,5, ,1,1010,820.2
L&TFINANCE,SERENCD 9.05% SR.VI OPII,1075,1067.25,1075,1067.25,1075,55613.25,52, ,4,1215,1030
DHANILOANS,SEC RE NCD 11% SR.V,1065.67,1065,1065,1064,1064,13840,13, ,5,1187.8,851.1
IBULHSG,SEC RE NCD 10.03% SR X,939,939,970,925.2,949,385516,409, ,10,981,925
IIFL,SEC RE NCD 8.35% SR.I,984,984,984,984,984,64944,66, ,3,1003.64,830
IIFL,SEC RE NCD 0% SR.II,980,975,975,975,975,48750,50, ,2,1000,900
L&TFINANCE,SERENCD 8.70% SR.VII OPII,1030,1040,1040,1040,1040,26000,25, ,2,1155.1,966
DHANILOANS,SEC RE NCD 10.49% SR.VII,991.45,971.85,998.55,971.85,998.55,41618.7,42, ,3,1049,900
IBULHSGFIN,SEC RE NCD 8.75% SR.I,1071.89,1075.55,1075.55,1060.2,1075.2,23504.8,22, ,5,1075.55,960.2
IIFL,SEC RE NCD 8.65% SR.V,922.99,919,923,919,922.99,150439.4,163, ,9,1000,900
IIFL,SEC RE NCD 9% SR.VI,950,950,950,950,950,4750,5, ,1,1000,901
IBULHSGFIN,SEC RE NCD SR.II,1165.45,1168.55,1168.55,1160,1160,2328.55,2, ,2,1168.55,1019.2
L&TFINANCE,SE RE NCD 8.60% SR.IV O8,1079.8,1079.9,1084.75,1079.82,1080.7,499232.53,462, ,14,1100,1015
L&TFINANCE,SE RE NCD 8.29% SR.V O10,1002.6,1009.7,1009.7,1004,1009,261093.5,260, ,3,1058,975
L&TFINANCE,SE RE NCD 8.65% SR.VI O12,1089,1092,1092,1092,1092,21840,20, ,2,1149,1028
IBULHSGFIN,SEC RE NCD 8.75% SR.I,1003.9,1006.85,1006.85,1006.85,1006.85,1006.85,1, ,1,1044.5,901.2
SHRIRAMFIN,SEC RED NCD 9.40% SR. V,1055,1065,1065,1065,1065,426000,400, ,3,1179.69,1006.06
IBULHSGFIN,SEC RE NCD 9% SR.IV,1004,1004,1004,1004,1004,1004,1, ,1,1099,900.85
IBULHSGFIN,SEC RE NCD 8.66% SR.VI,975,975,975,975,975,975,1, ,1,1130,900
SHRIRAMFIN,SEC RED NCD 9.30% SR. II,1027.5,1016,1016,1016,1016,2032,2, ,1,1250,1000
IBULHSGFIN,SEC RE NCD 9.25% SR.VII,940,940,940,940,940,940,1, ,1,1080,890
SHRIRAMFIN,SEC RED NCD 9.70% SR. V,1056,1067,1067,1067,1067,7469,7, ,1,1157.95,1030
SHRIRAMFIN,SEC RED NCD 9.12% SR. I,998.6,993.1,1000,993.1,1000,397655,398, ,6,1036,906
SHRIRAMFIN,SEC RED NCD 9.30% SR. II,1048,1036.05,1036.05,1030,1030,248762.75,241, ,12,1099,1015
SHRIRAMFIN,SEC RED NCD 9.50% SR. IV,1011,1020.2,1075,1020.2,1070.15,480266.5,460, ,6,1290,1000.01
SHRIRAMFIN,SEC RED NCD 9.70% SR. V,1120,1110,1120,1110,1120,380741,343, ,4,1183,1025.31
IBULHSGFIN,SEC RE NCD 9.30% SR.IV,950.5,930,930,930,930,9300,10, ,1,1010,900
SHRIRAMFIN,SEC RED NCD SR. VII,1540,1544,1544,1540,1540,1019986,662, ,8,1545,1356.11
SHRIRAMFIN,SEC RED NCD 9.22% SR.II,1010,1010,1010,1010,1010,11110,11, ,2,1220,971.01
IBULHSGFIN,SEC RE NCD 8.94% SR.VI,960,968,968,968,968,4840,5, ,1,995,830.4
SHRIRAMFIN,SEC RED NCD 9.31% SR.III,1017.9,1012.6,1014,1012.6,1014,7091,7, ,2,1089,942.01
SHRIRAMFIN,SEC RED NCD 9.6% SR.VI,1028,1023.01,1028,1023,1023.83,614301,600, ,11,1180,1006.6
SHRIRAMFIN,SEC RED NCD 8.75% SR.III,1009,1009,1009,1009,1009,45405,45, ,1,1030,972
SHRIRAMFIN,SEC RED NCD 9% SR.V,1069,1049,1049,1049,1049,4196,4, ,1,1180,988
SHRIRAMFIN,SEC RED NCD SR.VIII,1390.08,1395,1395,1395,1395,139500,100, ,2,1400,1202
IBULHSGFIN,SEC RE NCD 9.80% SR.VII,1029.66,1032,1032,1032,1032,66048,64, ,6,1033,900.1
